filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
ssh-keygen,850912,12,343,8,1,1,3.2211116151207544,0
lsmp,169872,10,49,0,1,1,2.555479177599261,0
uuname,172048,10,67,2,1,1,2.807327598085755,0
bspatch,134960,7,29,0,1,1,2.512511405557295,0
tail,119344,9,49,0,1,1,2.7294445601288455,0
gatherheaderdoc,118848,10,13,0,1,1,2.23610416522408,0
update_dyld_shared_cache,84272,3,1,1,1,1,3.1234335109341704,0
automator,171440,22,64,0,1,1,2.760079067898241,0
od,136144,9,54,0,1,1,2.911107075405129,0
afhash,136000,10,38,1,1,1,3.156097334890248,0
jcontrol,135664,11,35,0,1,1,2.967061289411817,0
lockstat,188672,9,72,0,1,1,2.894433963384964,0
brctl,543712,28,326,7,1,1,3.209332985450069,0
xargs,135984,9,49,0,1,1,3.120863784278882,0
db_printlog,2126224,11,131,6,1,1,3.328974551285093,0
tccutil,136880,11,34,2,1,1,2.5643198382080397,0
tailspin,212512,17,157,1,1,1,2.8563036755194005,0
nc,171040,10,75,5,1,1,2.6305271180902876,0
mount_webdav,101344,6,13,1,1,1,3.312872299001272,0
mcxrefresh,135120,11,25,0,1,1,2.74489703768849,0
sfltool,246272,26,169,3,1,1,2.785370184494418,0
hpmdiagnose,386512,24,74,0,1,1,2.9596308056911913,0
cal,135776,9,46,0,1,1,3.172493928930548,0
ncinit,135248,7,32,0,1,1,2.8173944940639655,0
env,102368,7,36,0,1,1,3.2821301166927968,0
ruby,135200,7,26,0,4,1,3.19570856366951,0
mount_9p,136656,10,42,0,1,1,2.8208866933750802,0
ps,170864,9,78,0,1,1,3.0956111761128233,0
hostname,101184,6,11,0,1,1,3.456947858388498,0
mpsgraphtool,155111072,31,588,9,84352,1,3.077106988901548,0
scp,305664,12,127,4,1,1,3.106854130633863,0
bzegrep,153824,10,76,0,1,1,2.8160263793393283,0
fibreconfig,172592,13,91,0,1,1,2.619709822129776,0
actool,118912,10,12,0,1,1,2.1561904087499904,0
iconutil,136464,13,42,0,1,1,2.687489517426919,0
tiff2icns,135488,10,28,0,1,1,2.9920823723400662,0
yes,100928,7,5,0,1,1,3.0646138844373234,0
trustcachectl,122768,8,31,1,1,1,2.6384080467377986,0
applesingle,169216,8,50,2,1,1,2.910237079957498,0
ppdc,291936,13,84,2,1,1,3.3600423704072715,0
db_load,2092448,11,137,6,1,1,3.3304530737864555,0
dyld_info,118848,10,13,0,1,1,2.23610416522408,0
trimforce,137200,17,59,0,1,1,2.6098920815187454,0
encode_keychange,136304,9,44,0,1,1,2.4819224298086233,0
getconf,118288,8,25,0,1,1,3.5760231869566024,0
less,368496,10,85,3,1,1,3.264383256727977,0
thermal,137824,9,67,5,1,1,3.151751746660925,0
cut,102528,7,39,0,1,1,3.279805674774376,0
ksh,2566144,11,247,11,1,1,3.5453892298549508,0
fileproviderctl,295840,23,154,2,1,1,3.1715182030506632,0
chpass,140320,10,113,0,1,1,3.02051454431328,0
kdestroy,157344,8,51,0,7,1,3.056538046065749,0
